grade;city_birth;parents_stem;which_parent_stem;parent_profession;number_science_classes;number_math_classes;number_tech_classes;number_egr_classes;math_worst;math_career;not_enjoy_math;good_at_math;decentschool_badmath;higherlevel_math;good_math_grades;interesting_math;future_math;math_courses;sure_science;science_career;science_outsideofschool;science_pay;science_job;good_science;decentschool_badscience;higherlevel_science;science_courses;new_products;engineering_everyday;enjoy_building;interested_machines;career_design;curiosity_tech;future_innovation;mathscience_useful;success_engineering;i_can_build;opportunity_engineering;prediction_literature;prediction_math;prediction_science;future_math_classes;future_science_classes;future_egr_classes;college;what_major;why_not_college;plan_after_school;other_plan_afterschool;frequency_learning_stem;why_no_chances;opportunities_women_stem;reason_opportunities_stem;contribute_community;resolve_problems_community;external_help;leader_community;contribute_community
5 mag;urbano;si;padre;tesorero;6;10;7;2;C;C;B;C;C;D;B;C;D;C;C;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;B;A;NA;A;A;A;si;arquitectura e odontologia;NA;B;NA;3;porque a veces no entiendo el curso de mate;si;porque todos somos iguales ante los ojos de Dios;C;C;C;B;C
5 mag;urbano;si;padre;agronomo;5;10;8;2;D;B;B;A;D;B;D;D;D;B;D;B;D;D;D;D;C;D;D;D;D;D;D;D;D;D;D;NA;B;B;B;B;NA;B;B;B;si;medicina;para ayudar a las personas;B;NA;5;NA;si;porque todos tenemos la misma capacidad y derechos;D;D;D;D;D
5 bach;suburbano;no;NA;NA;2;5;2;NA;B;D;D;C;B;E;C;D;E;E;C;B;C;E;D;D;E;D;E;E;D;D;C;B;C;E;D;B;C;D;A;A;A;NA;A;A;si;nutricion arquitectura;NA;B;NA;3;NA;NA;por igualdad de genero;D;D;D;D;D
5 bach;NA;no;NA;NA;8;8;4;NA;C;B;C;C;D;C;C;C;D;D;C;C;C;C;C;C;C;B;D;D;D;C;D;D;D;D;D;C;C;C;A;A;A;NA;C;C;no es seguro;alimentacion contabilidad;por los recursos economicos;B;NA;3;NA;NA;porque todos tenemos los mismos valores;D;D;D;C;D
5 bach;urbano;no;NA;NA;7;7;2;1;B;A;C;C;C;B;C;E;E;B;D;E;E;C;E;D;B;D;E;D;D;B;C;C;D;D;C;D;A;A;A;B;B;NA;C;A;si;medicina;NA;B;NA;5;NA;si;porque las mujeres somos capaces de todo;E;D;B;C;D
5 bach;rural;no;NA;NA;10;7;2;1;A;B;B;D;B;D;D;D;D;D;D;D;D;D;D;D;B;D;D;D;D;D;D;D;D;D;D;D;D;D;A;A;A;NA;A;A;si;ingeniera agronoma;NA;B;NA;4;NA;si;porque todos tenemos derechos y habilidades;D;D;E;D;D
5 bach;NA;si;madre;NA;8;3;2;NA;A;E;A;E;A;E;E;E;E;E;E;E;E;E;E;E;A;E;E;E;E;E;D;E;D;E;E;E;E;E;A;A;A;NA;A;A;si;ciencias y sistemas de informatica;NA;B/C;NA;5;NA;si;porque vivimos en un pais democratico y donde todos tenemos los mismos derechos;E;D;A;E;E
5 bach;urbano;si;padre;agricultor;5;5;4;NA;B;D;A;D;D;D;D;D;D;D;B;D;D;D;B;D;D;B;D;D;D;D;D;B;D;B;D;B;D;D;A;A;A;NA;A;B;no es seguro;matematicas;por la economia;D;trabajan en una libreria o otros;5;NA;si;porque tenemos las mismas capacidades;A;C;B;D;A
5 bach;urbano;NA;NA;NA;7;7;2;1;B;A;C;C;C;B;B;D;E;D;E;D;E;E;D;D;B;C;D;E;E;D;D;E;D;E;E;D;D;D;A;B;A;NA;C;A;si;gastronomia;NA;B;NA;4;NA;si;porque todos tenemos los mismos derechos y superarnos de la mejor manera teniendo conocimiento acerca de estos;E;E;B;D;E
5 bach;rural;no;NA;NA;7;3;2;1;A;C;D;D;A;D;E;E;D;D;D;E;E;E;D;NA;A;C;C;E;E;E;D;E;E;E;E;E;E;E;A;A;A;NA;C;C;si;teatro;NA;D;estudiar ingles;3;NA;si;porque somos igualmente capaces;E;E;C;D;E
5 bach;rural;NA;NA;NA;8;8;8;1;A;C;C;C;D;E;C;E;E;E;E;E;E;E;E;E;D;C;E;E;D;D;E;C;E;E;D;C;D;C;A;A;A;NA;A;C;si;chef;NA;D;estudiar otros cursos;3;porque no tenemos muchos periodos y apoyo;si;porque todos podemos y tenemos habilidades y capacidad;E;D;E;E;E
5 bach;urbano;NA;NA;NA;7;8;NA;NA;A;C;C;B;D;E;D;E;C;E;D;D;E;E;C;B;B;E;E;E;E;E;E;C;E;E;C;D;D;E;B;B;A;NA;C;A;si;psicologia;NA;B;NA;4;NA;si;porque todos somos capaces de realizarlos;C;D;C;D;C
5 bach;rural;no;NA;NA;7;5;2;NA;C;B;C;C;D;C;C;D;D;D;C;D;D;D;D;D;C;C;D;C;D;C;D;C;C;D;D;C;C;C;B;B;A;NA;C;A;si;medicina;NA;B;NA;3;NA;no;porque tadavia existe un poquito de desigualdad;C;D;C;C;D
5 bach;rural;no;NA;NA;5;5;2;NA;B;B;D;D;B;D;D;D;D;E;D;D;D;E;D;D;B;E;D;D;D;D;D;D;D;E;E;D;D;D;A;A;A;NA;C;A;si;literatura matematicas ciencias;NA;B;NA;4;NA;si;porque hoy en dia uno es libre en lo que quiere ser;D;D;C;D;E
5 bach;rural;no;NA;NA;5;5;2;NA;B;E;D;C;C;D;C;E;E;E;D;E;D;A;C;D;C;E;E;E;C;D;E;C;D;E;C;E;E;E;A;B;A;NA;A;A;si;matematicas;NA;B;NA;4;NA;si;porque no podemos quitarle la oportunidad a la mujer ni al hombre porque todos tienen las oportunidades de estudiar;E;E;C;E;E
5 bach;urbano;si;padre;administracion;2;5;2;NA;A;D;D;B;A;E;E;E;E;E;A;E;E;E;E;E;D;D;D;E;E;E;E;E;E;E;E;D;E;D;A;B;B;NA;A;A;si;quimica y biologia;NA;B;NA;3;NA;si;todos somos iguales y siempre hay algien que le guste y aprende muy bien;E;E;E;E;E
5 bach;rural;no;NA;NA;10;5;2;2;B;D;B;E;B;D;E;D;E;D;D;D;D;D;D;D;B;C;C;D;E;D;D;C;D;D;E;E;D;D;A;A;A;NA;A;A;si;administracion o ingeneria;NA;B;NA;4;NA;si;actualmente a mejora la autoestima de los mujeres;D;D;D;E;D
5 bach;rural;no;NA;NA;NA;4;4;NA;B;C;B;D;B;D;D;D;D;D;C;C;D;D;D;D;C;D;D;C;D;C;D;D;D;D;C;C;B;C;A;B;B;NA;A;C;si;pediatria;NA;B;NA;3;porque algunos de los temas no me interesa tambien no he tenido tiempo;si;porque muchas tienen la capacidad de ejercer rapidas mente estos cursos;C;C;D;D;D
5 bach;urbano;NA;NA;NA;10;7;2;1;B;NA;B;D;B;D;D;D;D;D;D;D;D;D;D;D;B;D;D;D;D;D;D;D;D;D;D;D;D;D;A;A;A;NA;A;A;si;medicina;NA;B;NA;4;NA;si;todos poseemos habilidades;D;D;D;D;D
5 bach;NA;no;NA;NA;4;5;3;1;C;C;D;D;D;E;D;E;E;E;D;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;A;A;A;NA;A;A;si;gastronomia;NA;B;NA;3;NA;si;todo tienen capacidades;E;E;B;E;E
